Kecamatan,Tahun,Total_Populasi,Total_Warga_Rentan,Total_Bantuan_PIP,Total_Pra_Sekolah,SD,Rasio_Warga_Rentan,Status_Resiko
ANDIR,2017,98921,25300,5293.0,0.0,24.0,25.575964658667015,Sedang
ANDIR,2018,99556,23975,5293.0,0.0,24.0,24.081923741411867,Rendah
ANDIR,2019,99156,25808,3950.0,0.0,24.0,26.027673564887653,Sedang
ANDIR,2020,99378,25561,2324.0,0.0,24.0,25.72098452373765,Sedang
ANDIR,2021,99493,26665,2324.0,41.0,24.0,26.800880463952236,Tinggi
ANDIR,2022,99119,26410,2629.0,31.0,24.0,26.644740160816795,Tinggi
ANDIR,2023,99126,25852,3001.0,41.0,24.0,26.079938663922686,Sedang
ANDIR,2024,99334,25223,1490.0,40.0,24.0,25.39211146233918,Sedang
ANDIR,2025,99653,24776,1490.0,42.0,24.0,24.862272084131938,Rendah
ANTAPANI,2017,74934,17813,2967.0,0.0,14.0,23.77158566204927,Rendah
ANTAPANI,2018,76436,17701,2967.0,0.0,14.0,23.15793605107541,Rendah
ANTAPANI,2019,78047,19235,3615.0,0.0,14.0,24.64540597332377,Rendah
ANTAPANI,2020,78817,19262,1544.0,0.0,14.0,24.438890087163937,Rendah
ANTAPANI,2021,80096,20447,1544.0,43.0,15.0,25.528116260487415,Sedang
ANTAPANI,2022,80530,20675,2596.0,31.0,15.0,25.67366198932075,Sedang
ANTAPANI,2023,81283,20782,1545.0,42.0,16.0,25.567461830887144,Sedang
ANTAPANI,2024,81908,21019,1063.0,47.0,16.0,25.661718025101333,Sedang
ANTAPANI,2025,82573,21196,1063.0,51.0,16.0,25.66940767563247,Sedang
ARCAMANIK,2017,71909,18958,3783.0,0.0,18.0,26.363876566215634,Sedang
ARCAMANIK,2018,73760,18447,3783.0,0.0,18.0,25.009490238611715,Rendah
ARCAMANIK,2019,75609,19856,3662.0,0.0,18.0,26.261423904561624,Sedang
ARCAMANIK,2020,76913,19436,2001.0,0.0,18.0,25.270110384460367,Sedang
ARCAMANIK,2021,78866,20106,2001.0,51.0,19.0,25.49387568787564,Sedang
ARCAMANIK,2022,80387,20591,2880.0,44.0,19.0,25.614838220110215,Sedang
ARCAMANIK,2023,81675,20860,3183.0,52.0,21.0,25.54025099479645,Sedang
ARCAMANIK,2024,82924,21179,1091.0,53.0,21.0,25.540253726303604,Sedang
ARCAMANIK,2025,84255,21144,1091.0,55.0,21.0,25.095246572903683,Sedang
ASTANAANYAR,2017,73424,17810,6320.0,0.0,16.0,24.256373937677054,Rendah
ASTANAANYAR,2018,73684,17052,6320.0,0.0,16.0,23.142066120188915,Rendah
ASTANAANYAR,2019,73991,18643,5959.0,0.0,16.0,25.19630765903961,Sedang
ASTANAANYAR,2020,74049,18467,2253.0,0.0,16.0,24.938891814879334,Rendah
ASTANAANYAR,2021,73447,19338,2253.0,23.0,16.0,26.32918975587839,Sedang
ASTANAANYAR,2022,73232,19334,1648.0,21.0,16.0,26.401026873497923,Sedang
ASTANAANYAR,2023,73581,19040,3924.0,24.0,16.0,25.87624522634919,Sedang
ASTANAANYAR,2024,73794,18295,1165.0,22.0,16.0,24.79198850855083,Rendah
ASTANAANYAR,2025,73919,17757,1165.0,21.0,16.0,24.022240560613646,Rendah
BABAKAN CIPARAY,2017,132098,35535,6564.0,0.0,19.0,26.900482974761164,Tinggi
BABAKAN CIPARAY,2018,135584,35078,6564.0,0.0,19.0,25.871784281331127,Sedang
BABAKAN CIPARAY,2019,137689,38966,5863.0,0.0,19.0,28.300009441567592,Tinggi
BABAKAN CIPARAY,2020,139374,38542,3772.0,0.0,19.0,27.65365132664629,Tinggi
BABAKAN CIPARAY,2021,142528,41013,3772.0,47.0,19.0,28.775398518185902,Tinggi
BABAKAN CIPARAY,2022,143651,40993,1492.0,44.0,19.0,28.53652254422176,Tinggi
BABAKAN CIPARAY,2023,145616,41241,4335.0,50.0,19.0,28.321750357103614,Tinggi
BABAKAN CIPARAY,2024,147541,41630,3141.0,50.0,19.0,28.21588575379047,Tinggi
BABAKAN CIPARAY,2025,149288,42075,3141.0,48.0,19.0,28.183779004340604,Tinggi
BANDUNG KIDUL,2017,57433,15353,2666.0,0.0,10.0,26.732018177702717,Tinggi
BANDUNG KIDUL,2018,58758,15107,2666.0,0.0,10.0,25.710541543279213,Sedang
BANDUNG KIDUL,2019,59479,16090,2384.0,0.0,10.0,27.05156441769364,Tinggi
BANDUNG KIDUL,2020,60129,15065,1061.0,0.0,10.0,25.054466230936818,Sedang
BANDUNG KIDUL,2021,60922,15618,1061.0,28.0,10.0,25.636059223269097,Sedang
BANDUNG KIDUL,2022,61419,15458,1888.0,14.0,10.0,25.16810758885687,Sedang
BANDUNG KIDUL,2023,61878,15373,1075.0,29.0,10.0,24.844047965351173,Rendah
BANDUNG KIDUL,2024,62666,15422,778.0,29.0,10.0,24.60983627485399,Rendah
BANDUNG KIDUL,2025,63189,15295,778.0,28.0,10.0,24.205162290905065,Rendah
BANDUNG KULON,2017,130651,35922,5988.0,0.0,27.0,27.49462307980804,Tinggi
BANDUNG KULON,2018,131662,34917,5988.0,0.0,27.0,26.52018046209233,Sedang
BANDUNG KULON,2019,132416,38263,5246.0,0.0,27.0,28.896054857419045,Tinggi
BANDUNG KULON,2020,133275,38090,2035.0,0.0,27.0,28.580003751641343,Tinggi
BANDUNG KULON,2021,136217,40720,2035.0,53.0,27.0,29.89347878752285,Tinggi
BANDUNG KULON,2022,136622,41120,3428.0,46.0,27.0,30.09764166825255,Tinggi
BANDUNG KULON,2023,137546,41412,3604.0,54.0,27.0,30.10774577232344,Tinggi
BANDUNG KULON,2024,138609,41200,4144.0,52.0,27.0,29.723899602478916,Tinggi
BANDUNG KULON,2025,139136,39753,4144.0,51.0,27.0,28.571325896964122,Tinggi
BANDUNG WETAN,2017,29961,6531,940.0,0.0,17.0,21.79833783919095,Rendah
BANDUNG WETAN,2018,29148,6213,940.0,0.0,17.0,21.315356113627008,Rendah
BANDUNG WETAN,2019,28859,6581,1340.0,0.0,17.0,22.80397796181434,Rendah
BANDUNG WETAN,2020,29019,6471,836.0,0.0,17.0,22.299183293704125,Rendah
BANDUNG WETAN,2021,28864,6785,836.0,20.0,17.0,23.50679046563193,Rendah
BANDUNG WETAN,2022,28848,6944,1069.0,18.0,17.0,24.070992789794786,Rendah
BANDUNG WETAN,2023,29039,6911,1401.0,22.0,17.0,23.799028892179482,Rendah
BANDUNG WETAN,2024,29328,6767,553.0,24.0,17.0,23.07351336606656,Rendah
BANDUNG WETAN,2025,29530,6619,553.0,24.0,17.0,22.414493735184557,Rendah
BATUNUNGGAL,2017,117144,30190,5998.0,0.0,16.0,25.77169978829475,Sedang
BATUNUNGGAL,2018,119999,30150,5998.0,0.0,16.0,25.125209376744806,Sedang
BATUNUNGGAL,2019,120690,31250,6089.0,0.0,16.0,25.892783163476672,Sedang
BATUNUNGGAL,2020,121324,29817,1824.0,0.0,16.0,24.576341037222644,Rendah
BATUNUNGGAL,2021,121318,30829,1824.0,41.0,16.0,25.41172785571803,Sedang
BATUNUNGGAL,2022,121469,30725,1621.0,34.0,16.0,25.29451958936025,Sedang
BATUNUNGGAL,2023,122015,30611,2906.0,42.0,16.0,25.087899028807936,Sedang
BATUNUNGGAL,2024,122844,30294,2593.0,42.0,16.0,24.660545081566866,Rendah
BATUNUNGGAL,2025,123565,30005,2593.0,45.0,16.0,24.282766155464735,Rendah
BOJONGLOA KALER,2017,120547,32898,4353.0,0.0,12.0,27.29060034675272,Tinggi
BOJONGLOA KALER,2018,122220,32029,4353.0,0.0,12.0,26.206021927671415,Sedang
BOJONGLOA KALER,2019,123299,34204,3939.0,0.0,12.0,27.740695382768717,Tinggi
BOJONGLOA KALER,2020,123569,33655,1211.0,0.0,12.0,27.23579538557405,Tinggi
BOJONGLOA KALER,2021,124506,35137,1211.0,36.0,12.0,28.221129905386082,Tinggi
BOJONGLOA KALER,2022,124323,35357,730.0,28.0,12.0,28.439629030830982,Tinggi
BOJONGLOA KALER,2023,125468,35403,2603.0,38.0,12.0,28.216756463799538,Tinggi
BOJONGLOA KALER,2024,125950,34904,1033.0,38.0,12.0,27.712584358872565,Tinggi
BOJONGLOA KALER,2025,126845,34907,1033.0,37.0,13.0,27.51941345736923,Tinggi
BOJONGLOA KIDUL,2017,84081,22403,4373.0,0.0,14.0,26.644545140994992,Tinggi
BOJONGLOA KIDUL,2018,84404,21734,4373.0,0.0,14.0,25.749964456660823,Sedang
BOJONGLOA KIDUL,2019,85425,23690,3543.0,0.0,14.0,27.731928592332455,Tinggi
BOJONGLOA KIDUL,2020,86004,23770,989.0,0.0,14.0,27.638249383749592,Tinggi
BOJONGLOA KIDUL,2021,87480,25181,989.0,25.0,14.0,28.784865112025603,Tinggi
BOJONGLOA KIDUL,2022,87988,25406,555.0,24.0,14.0,28.874391962540347,Tinggi
BOJONGLOA KIDUL,2023,88867,25359,3266.0,26.0,14.0,28.535901965859097,Tinggi
BOJONGLOA KIDUL,2024,89833,25436,808.0,27.0,14.0,28.314761835850966,Tinggi
BOJONGLOA KIDUL,2025,90155,25200,808.0,28.0,14.0,27.951860684376907,Tinggi
BUAHBATU,2017,97792,24095,4481.0,0.0,13.0,24.63902977748691,Rendah
BUAHBATU,2018,98474,23187,4481.0,0.0,13.0,23.546316794280724,Rendah
BUAHBATU,2019,100229,25714,5204.0,0.0,13.0,25.655249478693793,Sedang
BUAHBATU,2020,101426,25824,2301.0,0.0,13.0,25.46092717843551,Sedang
BUAHBATU,2021,103434,27531,2301.0,46.0,14.0,26.616973142293638,Tinggi
BUAHBATU,2022,104434,27940,1217.0,44.0,14.0,26.753739203707603,Tinggi
BUAHBATU,2023,105966,28240,3799.0,49.0,14.0,26.65005756563426,Tinggi
BUAHBATU,2024,107327,28515,627.0,50.0,14.0,26.56833788329125,Tinggi
BUAHBATU,2025,108270,28435,627.0,49.0,14.0,26.2630460884825,Sedang
CIBEUNYING KALER,2017,68310,16686,1770.0,0.0,10.0,24.42687747035573,Rendah
CIBEUNYING KALER,2018,68720,16222,1770.0,0.0,10.0,23.605937136204886,Rendah
CIBEUNYING KALER,2019,69362,16932,1576.0,0.0,10.0,24.411060811395288,Rendah
CIBEUNYING KALER,2020,69917,16805,1204.0,0.0,10.0,24.03564226153868,Rendah
CIBEUNYING KALER,2021,70560,17550,1204.0,37.0,10.0,24.872448979591837,Rendah
CIBEUNYING KALER,2022,70662,17561,2391.0,32.0,10.0,24.852112875378563,Rendah
CIBEUNYING KALER,2023,71350,17430,2146.0,37.0,11.0,24.42887175893483,Rendah
CIBEUNYING KALER,2024,72038,17368,1290.0,35.0,10.0,24.109497765068436,Rendah
CIBEUNYING KALER,2025,72571,17534,1290.0,34.0,10.0,24.16116630610023,Rendah
CIBEUNYING KIDUL,2017,109125,27724,4594.0,0.0,16.0,25.4057273768614,Sedang
CIBEUNYING KIDUL,2018,110628,27168,4594.0,0.0,16.0,24.557978088729797,Rendah
CIBEUNYING KIDUL,2019,112200,29081,4149.0,0.0,16.0,25.91889483065954,Sedang
CIBEUNYING KIDUL,2020,113110,28958,1951.0,0.0,16.0,25.601626735036692,Sedang
CIBEUNYING KIDUL,2021,113281,30500,1951.0,59.0,16.0,26.92419734995277,Tinggi
CIBEUNYING KIDUL,2022,113535,30198,4362.0,54.0,16.0,26.59796538512353,Tinggi
CIBEUNYING KIDUL,2023,114444,30095,3141.0,59.0,16.0,26.296704064870152,Sedang
CIBEUNYING KIDUL,2024,115104,29339,3619.0,65.0,16.0,25.489122880177927,Sedang
CIBEUNYING KIDUL,2025,115891,28888,3619.0,64.0,17.0,24.92687093907206,Rendah
CIBIRU,2017,71183,18920,3916.0,0.0,14.0,26.579379908124128,Tinggi
CIBIRU,2018,71212,18174,3916.0,0.0,14.0,25.520979610178056,Sedang
CIBIRU,2019,72272,20069,4030.0,0.0,14.0,27.768707106486605,Tinggi
CIBIRU,2020,73114,20074,1396.0,0.0,14.0,27.455754027956342,Tinggi
CIBIRU,2021,75279,21482,1396.0,48.0,15.0,28.536510846318365,Tinggi
CIBIRU,2022,76236,21756,3408.0,40.0,15.0,28.537698725011808,Tinggi
CIBIRU,2023,77397,21857,4107.0,51.0,15.0,28.240112665865603,Tinggi
CIBIRU,2024,78881,22124,856.0,50.0,15.0,28.047311773430867,Tinggi
CIBIRU,2025,79890,22131,856.0,48.0,16.0,27.701840030041307,Tinggi
CICENDO,2017,93850,22597,4778.0,0.0,27.0,24.077783697389453,Rendah
CICENDO,2018,94900,22067,4778.0,0.0,27.0,23.252897787144363,Rendah
CICENDO,2019,95644,23566,3834.0,0.0,27.0,24.63928735728326,Rendah
CICENDO,2020,96413,23315,4624.0,0.0,27.0,24.182423532096294,Rendah
CICENDO,2021,96309,23909,4624.0,40.0,27.0,24.825301892865674,Rendah
CICENDO,2022,96382,23630,2928.0,33.0,27.0,24.517026000705524,Rendah
CICENDO,2023,96963,23552,4033.0,43.0,27.0,24.289677505852747,Rendah
CICENDO,2024,97543,23444,3807.0,41.0,27.0,24.034528361850672,Rendah
CICENDO,2025,98014,23176,3807.0,41.0,27.0,23.64560164874406,Rendah
CIDADAP,2017,51922,13207,2012.0,0.0,15.0,25.436231269981896,Sedang
