Kecamatan,Tahun,Total_Pra_Sekolah,SD
Andir,2020,0,24
Andir,2021,41,24
Andir,2022,31,24
Andir,2023,41,24
Andir,2024,40,24
Andir,2025,42,24
Andir,2026,41,23
Antapani,2020,0,14
Antapani,2021,43,15
Antapani,2022,31,15
Antapani,2023,42,16
Antapani,2024,47,16
Antapani,2025,51,16
Antapani,2026,52,16
Arcamanik,2020,0,18
Arcamanik,2021,51,19
Arcamanik,2022,44,19
Arcamanik,2023,52,21
Arcamanik,2024,53,21
Arcamanik,2025,55,21
Arcamanik,2026,57,22
Astanaanyar,2020,0,16
Astanaanyar,2021,23,16
Astanaanyar,2022,21,16
Astanaanyar,2023,24,16
Astanaanyar,2024,22,16
Astanaanyar,2025,21,16
Astanaanyar,2026,21,16
Babakan Ciparay,2020,0,19
Babakan Ciparay,2021,47,19
Babakan Ciparay,2022,44,19
Babakan Ciparay,2023,50,19
Babakan Ciparay,2024,50,19
Babakan Ciparay,2025,48,19
Babakan Ciparay,2026,48,19
Bandung Kidul,2020,0,10
Bandung Kidul,2021,28,10
Bandung Kidul,2022,14,10
Bandung Kidul,2023,29,10
Bandung Kidul,2024,29,10
Bandung Kidul,2025,28,10
Bandung Kidul,2026,28,10
Bandung Kulon,2020,0,27
Bandung Kulon,2021,53,27
Bandung Kulon,2022,46,27
Bandung Kulon,2023,54,27
Bandung Kulon,2024,52,27
Bandung Kulon,2025,51,27
Bandung Kulon,2026,53,27
Bandung Wetan,2020,0,17
Bandung Wetan,2021,20,17
Bandung Wetan,2022,18,17
Bandung Wetan,2023,22,17
Bandung Wetan,2024,24,17
Bandung Wetan,2025,24,17
Bandung Wetan,2026,26,18
Batununggal,2020,0,16
Batununggal,2021,41,16
Batununggal,2022,34,16
Batununggal,2023,42,16
Batununggal,2024,42,16
Batununggal,2025,45,16
Batununggal,2026,48,17
Bojongloa Kaler,2020,0,12
Bojongloa Kaler,2021,36,12
Bojongloa Kaler,2022,28,12
Bojongloa Kaler,2023,38,12
Bojongloa Kaler,2024,38,12
Bojongloa Kaler,2025,37,13
Bojongloa Kaler,2026,36,13
Bojongloa Kidul,2020,0,14
Bojongloa Kidul,2021,25,14
Bojongloa Kidul,2022,24,14
Bojongloa Kidul,2023,26,14
Bojongloa Kidul,2024,27,14
Bojongloa Kidul,2025,28,14
Bojongloa Kidul,2026,28,14
Buahbatu,2020,0,13
Buahbatu,2021,46,14
Buahbatu,2022,44,14
Buahbatu,2023,49,14
Buahbatu,2024,50,14
Buahbatu,2025,49,14
Buahbatu,2026,49,14
Cibeunying Kaler,2020,0,10
Cibeunying Kaler,2021,37,10
Cibeunying Kaler,2022,32,10
Cibeunying Kaler,2023,37,11
Cibeunying Kaler,2024,35,10
Cibeunying Kaler,2025,34,10
Cibeunying Kaler,2026,34,10
Cibeunying Kidul,2020,0,16
Cibeunying Kidul,2021,59,16
Cibeunying Kidul,2022,54,16
Cibeunying Kidul,2023,59,16
Cibeunying Kidul,2024,65,16
Cibeunying Kidul,2025,64,17
Cibeunying Kidul,2026,64,17
Cibiru,2020,0,14
Cibiru,2021,48,15
