id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,kategori_siswa,jumlah_siswa,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 001 MERDEKA KOTA BANDUNG,20245231,SK SISWA,150,ORANG,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SDN 002 KARANGMULYA KOTA BANDUNG,20245212,SK SISWA,142,ORANG,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 003 PAGARSIH KOTA BANDUNG,20245064,SK SISWA,357,ORANG,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,SDN 004 CISARANTEN KULON KOTA BANDUNG,20245530,SK SISWA,220,ORANG,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SDN 005 BABAKAN CIPARAY KOTA BANDUNG,20245011,SK SISWA,128,ORANG,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,SDN 006 BUAHBATU KOTA BANDUNG,20245122,SK SISWA,349,ORANG,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 007 CIPAGANTI KOTA BANDUNG,20245525,SK SISWA,98,ORANG,2018
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 008 MOHAMAD TOHA KOTA BANDUNG,20245238,SK SISWA,78,ORANG,2018
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,SDN 009 CIKADUT KOTA BANDUNG,20245520,SK SISWA,398,ORANG,2018
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SDN 010 CIDADAP KOTA BANDUNG,20245138,SK SISWA,16,ORANG,2018
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 011 CIBUNTU KOTA BANDUNG,20244743,SK SISWA,222,ORANG,2018
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SDN 012 BABAKAN CIPARAY KOTA BANDUNG,20245013,SK SISWA,185,ORANG,2018
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 013 PASIRKALIKI KOTA BANDUNG,20245742,SK SISWA,112,ORANG,2018
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 014 CIGONDEWAH KOTA BANDUNG,20244836,SK SISWA,329,ORANG,2018
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 015 KRESNA KOTA BANDUNG,20245706,SK SISWA,308,ORANG,2018
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 016 DR. CIPTO PAJAJARAN KOTA BANDUNG,20245566,SK SISWA,107,ORANG,2018
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,SDN 017 SEKEJATI KOTA BANDUNG,20245760,SK SISWA,85,ORANG,2018
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 018 SUKAGALIH KOTA BANDUNG,20245266,SK SISWA,133,ORANG,2018
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 019 PABAKI KOTA BANDUNG,20245054,SK SISWA,829,ORANG,2018
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 020 LENGKONG BESAR KOTA BANDUNG,20245219,SK SISWA,161,ORANG,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,SDN 021 CIPOREAT KOTA BANDUNG,20245527,SK SISWA,324,ORANG,2018
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 022 CICADAS KOTA BANDUNG,20245153,SK SISWA,163,ORANG,2018
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 023 PAJAGALAN KOTA BANDUNG,20244745,SK SISWA,127,ORANG,2018
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 024 COBLONG KOTA BANDUNG,20245546,SK SISWA,136,ORANG,2018
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,SDN 025 CIKUTRA KOTA BANDUNG,20245172,SK SISWA,254,ORANG,2018
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,SDN 026 BOJONGLOA KOTA BANDUNG,20244953,SK SISWA,282,ORANG,2018
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 027 CICADAS KOTA BANDUNG,20245149,SK SISWA,255,ORANG,2018
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,SDN 028 GUMURUH KOTA BANDUNG,20244864,SK SISWA,367,ORANG,2018
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,SDN 029 CILENGKRANG KOTA BANDUNG,20245494,SK SISWA,211,ORANG,2018
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SDN 030 CIRATEUN KOTA BANDUNG,20245140,SK SISWA,28,ORANG,2018
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 031 PELESIRAN KOTA BANDUNG,20245749,SK SISWA,173,ORANG,2018
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 032 TILIL KOTA BANDUNG,20245822,SK SISWA,246,ORANG,2018
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 033 ASMI KOTA BANDUNG,20245201,SK SISWA,180,ORANG,2018
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 034 PATRAKOMALA KOTA BANDUNG,20245745,SK SISWA,66,ORANG,2018
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 035 SOKA KOTA BANDUNG,20245781,SK SISWA,40,ORANG,2018
